vessel_type,dwt,engine_power_kw,speed_knots,distance_nm,cargo_load_pct,weather_beaufort,draft_meters,fuel_type,fuel_consumption_tons,co2_emissions_tons,sox_emissions_tons,nox_emissions_tons,operational_cost_usd
Container,124195.57,22291.19,19.09,7245.82,64.15,4,13.08,Ammonia,1268.08,0.0,0.0,23.59,589659.52
Tanker,181932.09,32526.44,13.14,1537.02,32.64,3,11.63,Methanol,410.63,551.57,0.0,6.54,122571.81
Container,113325.79,36901.8,19.7,1550.35,85.04,2,14.11,LNG,433.45,1181.77,0.0,21.07,221187.1
Bulk Carrier,30876.14,12337.46,15.99,1530.62,56.04,5,12.64,Methanol,186.11,250.0,0.0,2.96,55554.45
Container,59390.54,28749.91,18.43,5020.13,61.91,3,12.71,Ammonia,1134.7,0.0,0.0,21.11,527636.43
Bulk Carrier,65823.19,15251.05,12.0,4976.67,84.93,3,14.03,Ammonia,1093.79,0.0,0.0,20.34,508614.11
Bulk Carrier,56021.75,11040.81,15.92,6969.51,93.88,1,14.9,HFO,855.41,2661.59,68.77,171.94,292293.12
Bulk Carrier,61020.0,21037.39,14.6,3398.46,53.42,4,12.26,Hydrogen,599.3,0.0,0.0,0.0,2517066.51
Tanker,103245.47,34860.53,16.63,5009.28,88.48,4,14.75,LNG,1744.11,4755.24,0.0,84.76,890017.69
Bulk Carrier,98933.2,19399.34,13.7,11459.93,65.46,7,13.13,Ammonia,2809.49,0.0,0.0,52.26,1306414.26
Tanker,136521.64,36117.27,16.03,7236.46,84.06,4,14.42,LNG,2622.32,7149.65,0.0,127.44,1338170.49
Tanker,102363.7,35022.6,12.56,3338.75,88.05,3,15.06,HFO,1731.41,5387.24,139.21,348.01,591621.5
Tanker,155913.35,27612.25,17.0,1549.83,63.05,3,13.8,HFO,354.6,1103.32,28.51,71.27,121165.25
Tanker,140307.34,35224.08,13.27,10690.47,56.68,3,12.69,VLSFO,3960.65,11789.27,81.19,730.74,1948640.28
Tanker,116335.25,28942.13,16.93,11443.45,78.11,1,13.24,Ammonia,3037.71,0.0,0.0,56.5,1412533.8
Bulk Carrier,54889.58,21778.96,12.21,7174.27,89.72,3,13.93,VLSFO,2288.2,6811.06,46.91,422.17,1125795.43
Tanker,145435.71,42216.05,15.58,3484.32,74.57,4,13.22,Methanol,1654.85,2222.88,0.0,26.35,493973.08
Container,125850.09,38987.89,16.01,1454.54,49.4,3,12.11,Ammonia,408.37,0.0,0.0,7.6,189892.3
Bulk Carrier,39827.66,8797.81,12.5,1535.55,71.17,2,13.78,Ammonia,150.27,0.0,0.0,2.79,69874.2
Tanker,134115.43,31618.73,12.01,3400.71,74.52,5,13.56,Methanol,1817.9,2441.89,0.0,28.94,542641.74
Container,100858.38,29559.32,18.26,5150.03,60.81,5,12.99,Methanol,1521.01,2043.09,0.0,24.21,454020.06
Bulk Carrier,56697.86,23849.77,13.59,3483.18,86.64,5,14.17,LNG,1103.89,3009.7,0.0,53.65,563313.21
Container,108309.81,50200.48,23.3,1489.0,30.88,4,12.12,LNG,238.94,651.45,0.0,11.61,121929.8
Container,138396.05,28926.68,18.14,7284.79,60.67,3,12.6,LNG,1383.83,3772.95,0.0,67.25,706167.84
Tanker,136719.43,18865.19,16.72,3644.67,32.44,3,12.18,Methanol,418.24,561.8,0.0,6.66,124843.67
Bulk Carrier,42103.62,20512.65,12.84,4950.19,46.67,3,12.55,Ammonia,893.91,0.0,0.0,16.63,415666.58
Bulk Carrier,71500.44,9552.42,15.63,3484.39,75.95,3,13.44,Hydrogen,336.53,0.0,0.0,0.0,1413434.43
Bulk Carrier,52992.43,21327.24,15.43,1458.98,59.1,3,12.63,Hydrogen,246.73,0.0,0.0,0.0,1036269.12
Bulk Carrier,43429.3,23636.95,11.84,5125.77,61.32,4,13.57,HFO,1530.64,4762.57,123.06,307.66,523021.04
Tanker,82691.08,18832.92,12.3,3560.52,38.95,7,12.44,VLSFO,683.06,2033.19,14.0,126.02,336064.78
Tanker,192669.8,19489.18,16.22,1555.51,39.36,4,12.06,Hydrogen,179.27,0.0,0.0,0.0,752943.23
Tanker,113002.11,36547.83,13.47,1445.04,65.69,7,12.71,LNG,612.59,1670.2,0.0,29.77,312605.12
Bulk Carrier,76548.56,16908.94,14.53,3584.6,32.48,7,11.61,Ammonia,435.69,0.0,0.0,8.1,202594.55
Bulk Carrier,75221.79,19796.43,14.03,10849.28,87.09,3,14.16,Ammonia,2497.03,0.0,0.0,46.44,1161119.58
